Sample_ID,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX
TMP_100.POOL.1_EXP,0.015507,0.99781,0.016028,0.99987,0.96748,5.5426,1.773,0.72132,0.82921,0.84672
TMP_100.POOL.2_EXP,0.015638,0.99979,0.01886,0.99955,0.82915,5.9825,1.6437,0.82094,0.66974,0.67661
TMP_100.POOL.3_EXP,0.014371,0.99969,0.015642,0.99275,0.91872,4.116,1.4118,0.57803,0.6602,0.67407
TMP_100.POOL.4_EXP,0.014866,0.99968,0.016014,0.99296,0.92829,4.2592,1.2276,0.62619,0.55191,0.58163
TMP_100.POOL.5_EXP,0.014905,0.99966,0.015357,0.99349,0.97058,4.255,1.2228,0.607,0.60225,0.63185
TMP_100.POOL.6_EXP,0.014846,0.99969,0.014867,0.99402,0.99858,4.1976,1.2247,0.60772,0.61334,0.62609
TMP_25.POOL.1_EXP,0.01478,0.99783,0.017551,0.99992,0.84214,5.9227,1.8154,0.83062,0.82926,0.84596
TMP_25.POOL.2_EXP,0.013127,0.99768,0.016901,0.99906,0.7767,4.6603,1.5483,0.88074,0.55524,0.56314
TMP_25.POOL.3_EXP,0.014371,0.99969,0.015642,0.99275,0.91872,4.116,1.3442,0.58559,0.64535,0.66623
TMP_25.POOL.4_EXP,0.014838,0.99962,0.015581,0.99301,0.9523,4.2179,1.2722,0.5835,0.62726,0.64119
TMP_25.POOL.5_EXP,0.014712,0.99967,0.01502,0.9935,0.97954,4.1761,1.239,0.5831,0.66581,0.69189
TMP_25.POOL.6_EXP,0.014433,0.99968,0.014678,0.99429,0.98337,4.1177,1.2717,0.60651,0.6408,0.67196
TMP_5.POOL.1_EXP,0.015223,0.99691,0.01865,0.99966,0.81624,6.3869,1.767,0.83748,0.78253,0.7944
TMP_5.POOL.2_EXP,0.013023,0.99929,0.016558,0.99184,0.78649,3.8088,1.4534,0.65249,0.64099,0.66081
TMP_5.POOL.3_EXP,0.014371,0.99969,0.015642,0.99275,0.91872,4.116,1.3392,0.60564,0.62104,0.63672
TMP_5.POOL.4_EXP,0.014603,0.99944,0.015121,0.99362,0.96572,4.1571,1.2826,0.58654,0.63685,0.65235
TMP_5.POOL.5_EXP,0.014425,0.99962,0.014946,0.99399,0.96516,4.1137,1.2858,0.59656,0.66538,0.68275
TMP_5.POOL.6_EXP,0.014246,0.99961,0.014836,0.99463,0.96023,4.0898,1.3254,0.62566,0.58072,0.61474
TMP_C_I5_20231002,0.015048,0.99856,0.01996,0.99969,0.75393,5.8865,1.5697,0.92959,0.56563,0.5789
TMP_FW_H3_20231002,0.015904,0.99833,0.020257,0.99944,0.78509,6.3932,1.6854,0.89064,0.73447,0.73917
TMP_FW_I5_20231005,0.014891,0.99976,0.019411,0.99967,0.76716,5.8428,1.514,0.937,0.55974,0.56828
TMP_SW_C3_20231002,0.015646,0.9984,0.020765,0.99983,0.75345,7.1466,1.7028,0.8731,0.76336,0.7744
TMP_SW_D5_20231002,0.012395,0.99935,0.01702,0.99992,0.72828,4.6949,1.4453,0.93766,0.51535,0.52922
TMP_SW_F6_20231002,0.013035,0.99963,0.017448,0.99973,0.74708,4.8283,1.4329,0.95023,0.52021,0.5425
TMP_SW_H3_20231002,0.011112,0.99964,0.014831,0.99993,0.74919,3.8925,1.2718,0.94145,0.4339,0.45108
PostTea_02Oct23,0.014371,0.99969,0.015642,0.99275,0.91872,4.116,1.3756,0.20073,0.50832,0.52086
PostTea_03Oct23,0.031313,0.99411,0.025446,0.9889,1.2306,4.0014,1.6311,0.19678,0.49989,0.52003
PostTea_05Oct23,0.031097,0.99445,0.025049,0.98942,1.2414,3.9316,1.5201,0.19924,0.52468,0.539
PostTea_12Oct23,0.031075,0.99413,0.025165,0.98914,1.2348,3.9672,1.5215,0.20201,0.48635,0.50635
PostTea_28Sep23,0.031009,0.99427,0.02468,0.98942,1.2564,3.9005,1.4981,0.20201,0.50715,0.51647
PreTea02Oct23,0.014371,0.99969,0.015642,0.99275,0.91872,4.116,1.4677,0.19547,0.52425,0.53174
PreTea_03Oct23,0.031252,0.99413,0.025381,0.98874,1.2313,3.9705,1.5018,0.19425,0.51942,0.53526
PreTea_05Oct23,0.031232,0.99431,0.025354,0.9889,1.2318,3.9804,1.4928,0.20123,0.51893,0.53129
PreTea_12Oct23,0.03113,0.99396,0.025135,0.98899,1.2385,3.9626,1.4065,0.20315,0.49455,0.51371
PreTea_28Sep23,0.031264,0.99408,0.025043,0.98866,1.2484,3.9449,1.3303,0.2041,0.50219,0.52225
