Exp_Type,Treatment,Timepoint,Column,conductivity_uSpercm,pH,doc_mgperL,Na_ppm,K_ppm,Ca_ppm,Mg_ppm,Al_ppm,Fe_ppm,S_ppm
ColEx,Control,6,C3,8.36,6.09,3.87,2.424,1.048,0.185,0.114,0.219,0.073,0.319
ColEx,Control,6,C4,9.05,5.87,14.17,1.801,1.432,0.224,0.106,0.43,0.263,0.104
ColEx,Control,6,C5,7.5,5.88,7.82,2.823,1.184,0.244,0.089,1.126,0.151,0.258
ColEx,Control,7,C1,10.65,6.32,8.97,5.849,1.592,0.173,0.08,0.339,0.117,0.16
ColEx,Control,7,C2,10.49,6.1,10.92,3.713,1.278,0.195,0.166,0.361,0.148,0.207
ColEx,Control,7,C3,7.98,6.08,4.12,2.31,0.966,0.174,0.105,0.213,0.053,0.255
ColEx,Control,7,C4,9.01,5.76,13.71,1.882,1.423,0.212,0.117,0.467,0.342,0.111
ColEx,Control,7,C5,7.57,5.99,8.4,2.194,1.139,0.346,0.087,0.279,0.147,0
ColEx,Control,8,C1,7.83,6.46,8.81,5.576,1.421,0.157,0,0.328,0.125,0.185
ColEx,Control,8,C2,10.64,6.36,11.8,3.372,1.185,0.221,0.173,0.375,0.157,0.182
ColEx,Control,8,C3,7.1,6.17,3.63,2.249,0.931,0.159,0.094,0.21,0.035,0.251
ColEx,Control,8,C4,8.41,6.05,13.34,1.844,1.365,0.175,0.097,0.405,0.224,0.084
ColEx,Control,8,C5,6.92,6.19,8.04,1.854,1.068,0.184,0,0.267,0.076,0.092
ColEx,Control,9,C1,7.76,6.39,8.51,5.26,1.48,0.152,0,0.324,0.11,0.126
ColEx,Control,9,C2,7.89,6.23,8.7,2.977,1.019,0.178,0.127,0.318,0.084,0.15
ColEx,Control,9,C3,8.19,6.35,4.69,2.208,1.056,0.161,0.102,0.2,0.043,0.245
ColEx,Control,9,C4,7.9,6.08,12.13,1.778,1.351,0.164,0.095,0.407,0.224,0.092
ColEx,Control,9,C5,6.36,5.98,7.07,1.623,1.043,0.228,0,0.257,0.252,0
ColEx,Control,10,C1,8.41,6.56,8.89,5.394,1.482,0.17,0,0.316,0.106,0.185
ColEx,Control,10,C2,8.71,6.39,9.65,3.031,1.085,0.175,0.14,0.326,0.106,0.175
ColEx,Control,10,C3,7.72,6.05,4.11,2.227,0.888,0.161,0.085,0.21,0.057,0.266
ColEx,Control,10,C4,8.16,5.98,12.16,3.818,1.365,0.185,0.096,0.403,0.225,23.352
ColEx,Control,10,C5,6.44,5.96,6.68,1.651,1.058,0.173,0.085,0.368,0.123,0.223
ColEx,Control,11,C1,8.7,6.8,8.98,4.751,1.498,0.164,0.08,0.323,0.118,0.183
ColEx,Control,11,C2,9.68,6.19,10.69,3.547,1.203,0.175,0.165,0.353,0.141,0.193
ColEx,Control,11,C3,8.63,5.99,4.39,2.128,0.998,0.197,0.123,0.233,0.265,0.324
ColEx,Control,11,C4,8.56,5.86,12.7,1.674,1.476,0.168,0.092,0.397,0.21,0.119
ColEx,Control,11,C5,6.94,5.86,7.5,1.274,1.126,0.166,0,0.269,0.125,0
ColEx,Control,12,C1,8.33,6.32,8.28,4.641,1.427,0.159,0.08,0.318,0.125,0.191
ColEx,Control,12,C2,8.96,6.03,10.28,3.09,1.122,0.17,0.158,0.339,0.112,0.156
ColEx,Control,12,C3,8.1,6.13,4.49,2.264,0.986,0.193,0.121,0.234,0.057,0.308
ColEx,Control,12,C4,7.97,5.96,12.45,1.355,1.408,0.16,0.101,0.424,0.278,0.125
ColEx,Control,12,C5,6.05,5.9,6.72,1.286,1.038,0.151,0,0.253,0.101,0
ColEx,Freshwater,0,Treatment Water,91.41,6.82,0,15.69,0.77,0.34,1.24,0.3,0,1.49
ColEx,Freshwater,1,F1,112.8,4.54,28.21,8.51,4.08,1.32,1.89,0.76,1.86,2.27
ColEx,Freshwater,1,F3,110,4.6,33.4,7.77,3.1,1.4,1.78,1.15,6.7,1.89
ColEx,Freshwater,1,F5,77.96,4.95,5.26,5.53,3.59,1.08,2.64,0.77,0.12,1.3
ColEx,Freshwater,1,F8,102.2,4.54,14.66,10.86,3.67,0.93,1.66,0.69,1.07,1.71
ColEx,Freshwater,1,F9,96.17,4.78,6.76,9.49,3.82,0.72,1.32,0.63,0.24,1.94
ColEx,Freshwater,2,F1,56.58,5.2,13.02,4.58,2.64,0.93,1.15,0.6,0.3,1.77
ColEx,Freshwater,2,F3,61.35,4.79,35.55,4.49,2.43,1.04,1.34,1.18,2.6,1.35
ColEx,Freshwater,2,F5,51.84,5.18,5.55,4.18,2.54,0.74,1.53,0.54,0,0.86
ColEx,Freshwater,2,F8,32.96,6.15,12.41,3.2,3.4,0.47,0.61,0.49,0,0.58
ColEx,Freshwater,2,F9,37.49,5.62,4.19,3.83,2.11,0.48,0.65,0.42,0,1.29
ColEx,Freshwater,3,F1,33.23,5.4,11.55,3.13,1.75,0.61,0.59,0.59,0.12,1.39
ColEx,Freshwater,3,F3,35.25,4.93,32.77,3.28,1.81,0.69,0.76,1.26,1.78,1.08
ColEx,Freshwater,3,F5,26.66,5.68,7.76,3.11,1.67,0.46,0.62,0.54,0,0.9
ColEx,Freshwater,3,F8,22.04,6.23,13.5,2.26,3.11,0.41,0.41,0.51,0,0.47
ColEx,Freshwater,3,F9,23.75,5.56,4.54,2.43,1.42,0.35,0.35,0.42,0,1.09
ColEx,Freshwater,4,F1,24.18,5.54,12.23,2.67,1.48,0.41,0.38,0.6,0.08,1.18
ColEx,Freshwater,4,F3,25.2,5.02,30.27,2.98,1.53,0.52,0.51,1.27,1.41,0.87
ColEx,Freshwater,4,F5,17.77,5.33,9.26,2.28,1.16,0.28,0.35,0.59,0,0.87
ColEx,Freshwater,4,F8,17.27,6.06,14.62,1.93,2.69,0.3,0.3,0.55,0,0.46
ColEx,Freshwater,4,F9,19.66,6.11,5.06,2.18,1.22,0.25,0.23,0.42,0.52,1.09
ColEx,Freshwater,5,F1,20.05,5.32,11.77,2.27,1.36,0.49,0.26,0.6,0.06,1.02
ColEx,Freshwater,5,F3,20.62,5.11,23.7,2.55,1.41,0.56,0.36,1.03,0.78,0.85
ColEx,Freshwater,5,F5,15.66,5.37,10.59,2.17,1.16,0.4,0.26,0.62,0,0.91
ColEx,Freshwater,5,F8,15.58,6.09,15.61,1.75,2.6,0.4,0.22,0.59,0,0.5
ColEx,Freshwater,5,F9,15.31,5.48,5.17,1.88,1.19,0.39,0.18,0.45,0,0.99
ColEx,Freshwater,6,F1,16.65,5.27,13.22,2,1.18,0.39,0.21,0.62,0.06,0.93
ColEx,Freshwater,6,F3,19.19,5,29.16,2.42,1.33,0.47,0.35,1.3,0.95,0.76
ColEx,Freshwater,6,F5,12.56,5.41,11.37,1.95,1.01,0.27,0.19,0.63,0,0.78
ColEx,Freshwater,6,F8,17.75,6.14,19.55,1.92,3.21,0.32,0.29,0.7,0,0.55
ColEx,Freshwater,6,F9,14.57,5.5,6.99,1.84,1.09,0.25,0.14,0.45,0,0.98
ColEx,Freshwater,7,F1,49.29,5.56,15.29,2.03,1.24,0.3,0.19,0.69,0.11,0.86
ColEx,Freshwater,7,F3,21.04,5.24,28.78,2.25,1.19,0.37,0.29,1.29,0.91,0.65
ColEx,Freshwater,7,F5,13.42,5.67,10.7,1.96,0.95,0.24,0.17,0.65,0,0.72
ColEx,Freshwater,7,F8,19.62,6.15,19.71,1.76,2.94,0.26,0.26,0.73,0,0.53
ColEx,Freshwater,7,F9,13.71,5.6,6.21,1.61,0.92,0.21,0.09,0.44,0,0.88
ColEx,Freshwater,8,F1,14.84,5.4,15.7,1.95,1.14,0.3,0.19,0.71,0.16,0.79
ColEx,Freshwater,8,F3,17.93,5.25,26.64,2.19,1.1,0.34,0.25,1.21,0.9,0.64
ColEx,Freshwater,8,F5,11.67,5.67,10.29,1.95,0.86,0.23,0.13,0.62,0,0.63
ColEx,Freshwater,8,F8,15.58,6.1,18.12,1.75,2.53,0.26,0.25,0.7,0,0.5
ColEx,Freshwater,8,F9,11.89,5.61,6.32,1.57,0.89,0.2,0.07,0.45,0,0.85
