sample_name,rundate,doc_mg_l,npoc_flag,sample_vol,total_vol,Treatment,Wash
TMP_25.C.5_EXP,20240130,8.75,NA,0.2442535993937869,6.999300000000001,25,5
TMP_100.A.3_EXP,20240130,9.57,NA,0.23617075018944103,6.993,100,3
TMP_0.A.5_EXP,20240130,3.13,NA,0.22619348320282906,6.9373000000000005,0,5
TMP_25.A.6_EXP,20240130,13.13,NA,0.2346552159636277,6.9153,25,6
TMP_1.C.5_EXP,20240130,7.66,NA,0.21154331901995396,6.969999999999999,1,5
TMP_25.B.3_EXP,20240130,9.12,NA,0.2321293255872692,6.937099999999999,25,3
TMP_5.C.5_EXP,20240130,13.36,NA,0.24286435968679007,6.9853000000000005,5,5
TMP_25.B.4_EXP,20240130,13.2,NA,0.2467794897701443,6.9582,25,4
TMP_5.C.3_EXP,20240130,8.78,NA,0.21091184642586489,7.0153,5,3
TMP_25.C.3_EXP,20240130,7.38,NA,0.23579186663298712,6.9135,25,3
TMP_5.B.5_EXP,20240130,23.38,NA,0.23869664056579953,6.9144,5,5
TMP_25.A.4_EXP,20240130,13.7,NA,0.22884566809800516,6.9647,25,4
TMP_5.A.3_EXP,20240130,9.91,NA,0.24235918161151745,6.99,5,3
TMP_25.A.3_EXP,20240130,7.95,NA,0.23351856529426604,6.988400000000001,25,3
TMP_5.A.5_EXP,20240130,14.26,NA,0.24349583228087912,6.9611,5,5
TMP_1.A.3_EXP,20240130,46.17,NA,0.23654963374589602,6.982700000000001,1,3
TMP_1.A.6_EXP,20240130,7.37,NA,0.23301338721899456,6.976399999999999,1,6
TMP_5.B.3_EXP,20240130,3.42,NA,0.23932811315988972,6.985400000000001,5,3
TMP_1.C.3_EXP,20240130,16.48,NA,0.23654963374589602,6.9392,1,3
TMP_1.B.6_EXP,20240130,12.98,NA,0.18817883303864616,6.9265,1,6
TMP_100.B.6_EXP,20240130,7.19,NA,0.4080575903005812,6.994300000000001,100,6
TMP_1.B.3_EXP,20240130,3.07,NA,0.2413488254609745,6.9447,1,3
TMP_100.A.6_EXP,20240130,8.27,NA,0.2413488254609745,6.9615,100,6
TMP_5.A.4_EXP,20240201,11.74,NA,0.21204849709522655,6.9673,5,4
TMP_100.C.5_EXP,20240201,42.04,NA,0.23629704470825974,6.9444,100,5
TMP_0.B.6_EXP,20240201,20.51,NA,0.23490780500126288,6.9719,0,6
TMP_5.A.6_EXP,20240201,8.68,NA,0.234528921444809,6.983900000000001,5,6
TMP_0.C.4_EXP,20240201,20.34,NA,0.21343773680222228,6.9815,0,4
TMP_5.C.4_EXP,20240201,12.83,NA,0.24122253094215804,7.0104,5,4
TMP_100.B.5_EXP,20240201,10.27,NA,0.2395807021975249,7.004500000000001,100,5
TMP_0.A.6_EXP,20240201,21.46,NA,0.19866127810053072,6.9251,0,6
TMP_5.C.6_EXP,20240201,8.75,NA,0.2370548118211675,6.990200000000001,5,6
TMP_0.A.4_EXP,20240201,17.3,NA,0.22568830512755758,6.9369000000000005,0,4
TMP_5.B.4_EXP,20240201,9.91,NA,0.23566557211416955,6.9979,5,4
TMP_100.A.5_EXP,20240201,9.64,NA,0.24362212679969672,7.006600000000001,100,5
TMP_5.B.6_EXP,20240201,8.5,NA,0.2277090174286446,6.962,5,6
TMP_0.B.4_EXP,20240201,17.15,NA,0.2224046476382924,6.903200000000001,0,4
TMP_25.C.1_EXP,20240201,28.42,NA,0.23869664056579842,6.9876000000000005,25,1
TMP_01.B.2_EXP,20240201,8.34,NA,0.23755998989643898,6.960500000000001,0.1,2
TMP_01.A.4_EXP,20240201,16.25,NA,0.2200050517807526,6.9611,0.1,4
TMP_100.A.1_EXP,20240201,28.72,NA,0.2538519828239461,6.929,100,1
TMP_25.A.1_EXP,20240201,18.09,NA,0.220889113412478,6.8798,25,1
TMP_01.A.2_EXP,20240201,9.09,NA,0.2232887092700178,6.977399999999999,0.1,2
TMP_01.B.4_EXP,20240201,9.85,NA,0.23819146249052806,6.923000000000001,0.1,4
TMP_100.B.1_EXP,20240201,28.82,NA,0.2440010103561495,6.914500000000001,100,1
TMP_01.C.2_EXP,20240201,27.54,NA,0.23781257893407418,6.9572,0.1,2
TMP_01.C.4_EXP,20240201,16.08,NA,0.23137155847436255,6.950099999999999,0.1,4
TMP_100.C.1_EXP,20240201,27.27,NA,0.2542308663803989,7.0051000000000005,100,1
TMP_01.B.5_EXP,20240201,4.12,NA,0.2226572366759276,6.9966,0.1,5
TMP_5.B.1_EXP,20240201,21.83,NA,0.2433695377620604,6.913500000000001,5,1
TMP_01.C.3_EXP,20240201,8.95,NA,0.2373074008588027,7.002,0.1,3
TMP_25.B.2_EXP,20240201,29.58,NA,0.24096994190452173,6.983099999999999,25,2
TMP_01.C.5_EXP,20240201,9.09,NA,0.23402374336953752,6.9129,0.1,5
TMP_5.A.1_EXP,20240201,29.86,NA,0.24501136650669356,6.9769,5,1
TMP_01.A.3_EXP,20240201,9.1,NA,0.2393281131598886,6.945200000000001,0.1,3
TMP_25.C.2_EXP,20240201,29.32,NA,0.24008588027279637,6.9624999999999995,25,2
TMP_01.A.5_EXP,20240201,4.06,NA,0.22556201060873998,6.972600000000001,0.1,5
TMP_5.C.1_EXP,20240201,19.96,NA,0.24008588027279526,6.9281,5,1
TMP_01.B.3_EXP,20240201,8.38,NA,0.23793887345289175,6.955500000000001,0.1,3
TMP_25.A.2_EXP,20240201,28.66,NA,0.2416014144986108,7.0017,25,2
TMP_100.C.4_EXP,20240201,20.05,NA,0.24349583228087912,6.9045000000000005,100,4
TMP_01.B.6_EXP,20240201,19.74,NA,0.24627431169487168,6.964099999999999,0.1,6
TMP_01.A.1_EXP,20240201,4.91,NA,0.21924728466784485,6.9843,0.1,1
TMP_100.C.2_EXP,20240201,5.36,NA,0.22404647638292555,6.9606,100,2
TMP_100.A.4_EXP,20240201,10.16,NA,0.24122253094215693,6.9925,100,4
TMP_01.A.6_EXP,20240201,20.02,NA,0.2112907299823188,6.844800000000001,0.1,6
TMP_01.C.1_EXP,20240201,4.45,NA,0.22227835311947483,7.0386,0.1,1
TMP_100.B.2_EXP,20240201,5.14,NA,0.21406920939631247,7.0245999999999995,100,2
TMP_100.B.4_EXP,20240201,20.82,NA,0.23768628441525658,6.979399999999999,100,4
TMP_1.A.4_EXP,20240201,9.24,NA,0.2019449355897959,7.0148,1,4
TMP_100.A.2_EXP,20240201,17.72,NA,0.220889113412478,6.9735000000000005,100,2
TMP_1.C.4_EXP,20240201,15.59,NA,0.21672139429148857,7.0238,1,4
TMP_0.A.2_EXP,20240201,8.68,NA,0.2373074008588027,6.9372,0,2
TMP_01.B.1_EXP,20240201,17.34,NA,0.2232887092700178,6.857000000000001,0.1,1
