Exp_Type,Treatment,Wash,Soil_Column,sample_ID_short,sample_name,doc_mg_l,npoc_flag,tdn_mg_l,tdn_flag
Soil_Column,DI,12,1,DI.1.12,TMP_ColEx_36,7.59,NA,0.24,blank is ≥ 15% of sample value
Soil_Column,FW,1,1,FW.1.1,TMP_ColEx_13_A,28.21,NA,3.99,NA
Soil_Column,FW,1,3,FW.3.1,TMP_ColEx_13_B,33.4,NA,2.94,NA
Soil_Column,FW,1,5,FW.5.1,TMP_ColEx_13_C,5.26,NA,0.34,blank is ≥ 15% of sample value
Soil_Column,FW,1,8,FW.8.1,TMP_ColEx_13_D,14.66,NA,1.24,blank is ≥ 15% of sample value
Soil_Column,FW,1,9,FW.9.1,TMP_ColEx_13_E,6.76,NA,2.07,NA
Soil_Column,FW,2,1,FW.1.2,TMP_ColEx_14_A,13.02,NA,1.28,NA
Soil_Column,FW,2,3,FW.3.2,TMP_ColEx_14_B,35.55,NA,1.87,NA
Soil_Column,FW,2,5,FW.5.2,TMP_ColEx_14_C,5.55,NA,0.28,blank is ≥ 15% of sample value
Soil_Column,FW,2,8,FW.8.2,TMP_ColEx_14_D,12.41,NA,0.46,blank is ≥ 15% of sample value
Soil_Column,FW,2,9,FW.9.2,TMP_ColEx_14_E,4.1899999999999995,replicates analyzed and values averaged,0.94,replicates analyzed and values averaged
Soil_Column,FW,3,1,FW.1.3,TMP_ColEx_15_A,11.55,NA,0.85,NA
Soil_Column,FW,3,3,FW.3.3,TMP_ColEx_15_B,32.77,NA,1.42,NA
Soil_Column,FW,3,5,FW.5.3,TMP_ColEx_15_C,7.76,NA,0.29,blank is ≥ 15% of sample value
Soil_Column,FW,3,8,FW.8.3,TMP_ColEx_15_D,13.5,NA,0.33,blank is ≥ 15% of sample value
Soil_Column,FW,3,9,FW.9.3,TMP_ColEx_15_E,4.54,replicates analyzed and values averaged,0.6599999999999999,replicates analyzed and values averaged
Soil_Column,FW,4,1,FW.1.4,TMP_ColEx_16_A,12.23,NA,0.71,NA
Soil_Column,FW,4,3,FW.3.4,TMP_ColEx_16_B,30.27,NA,1.26,NA
Soil_Column,FW,4,5,FW.5.4,TMP_ColEx_16_C,9.26,NA,0.33,blank is ≥ 15% of sample value
Soil_Column,FW,4,8,FW.8.4,TMP_ColEx_16_D,14.62,NA,0.5,blank is ≥ 15% of sample value
Soil_Column,FW,4,9,FW.9.4,TMP_ColEx_16_E,5.06,NA,0.76,blank is ≥ 15% of sample value
Soil_Column,FW,5,1,FW.1.5,TMP_ColEx_17_A,11.77,NA,0.66,NA
Soil_Column,FW,5,3,FW.3.5,TMP_ColEx_17_B,23.7,NA,0.97,NA
Soil_Column,FW,5,5,FW.5.5,TMP_ColEx_17_C,10.59,NA,0.36,blank is ≥ 15% of sample value
Soil_Column,FW,5,8,FW.8.5,TMP_ColEx_17_D,15.61,NA,0.52,blank is ≥ 15% of sample value
Soil_Column,FW,5,9,FW.9.5,TMP_ColEx_17_E,5.17,NA,0.55,blank is ≥ 15% of sample value
Soil_Column,FW,6,1,FW.1.6,TMP_ColEx_18_A,13.22,NA,0.63,NA
Soil_Column,FW,6,3,FW.3.6,TMP_ColEx_18_B,29.16,NA,1.1,NA
Soil_Column,FW,6,5,FW.5.6,TMP_ColEx_18_C,11.37,NA,0.36,blank is ≥ 15% of sample value
Soil_Column,FW,6,8,FW.8.6,TMP_ColEx_18_D,19.55,NA,0.57,blank is ≥ 15% of sample value
Soil_Column,FW,6,9,FW.9.6,TMP_ColEx_18_E,6.99,NA,0.61,blank is ≥ 15% of sample value
Soil_Column,FW,7,1,FW.1.7,TMP_ColEx_19_A,15.29,NA,0.69,NA
Soil_Column,FW,7,3,FW.3.7,TMP_ColEx_19_B,28.78,NA,1.08,NA
Soil_Column,FW,7,5,FW.5.7,TMP_ColEx_19_C,10.7,NA,0.35,blank is ≥ 15% of sample value
Soil_Column,FW,7,8,FW.8.7,TMP_ColEx_19_D,19.71,NA,0.27,blank is ≥ 15% of sample value
Soil_Column,FW,7,9,FW.9.7,TMP_ColEx_19_E,6.21,NA,0.58,blank is ≥ 15% of sample value
Soil_Column,FW,8,1,FW.1.8,TMP_ColEx_20_A,15.7,NA,0.62,NA
Soil_Column,FW,8,3,FW.3.8,TMP_ColEx_20_B,26.64,NA,1.01,NA
Soil_Column,FW,8,5,FW.5.8,TMP_ColEx_20_C,10.29,NA,0.33,blank is ≥ 15% of sample value
Soil_Column,FW,8,8,FW.8.8,TMP_ColEx_20_D,18.12,NA,0.56,blank is ≥ 15% of sample value
Soil_Column,FW,8,9,FW.9.8,TMP_ColEx_20_E,6.32,NA,0.57,blank is ≥ 15% of sample value
Soil_Column,FW,9,1,FW.1.9,TMP_ColEx_21_A,14.8,NA,0.63,NA
Soil_Column,FW,9,3,FW.3.9,TMP_ColEx_21_B,24.86,NA,1,NA
Soil_Column,FW,9,5,FW.5.9,TMP_ColEx_21_C,10.15,NA,0.32,blank is ≥ 15% of sample value
Soil_Column,FW,9,8,FW.8.9,TMP_ColEx_21_D,16.7,NA,0.56,blank is ≥ 15% of sample value
Soil_Column,FW,9,9,FW.9.9,TMP_ColEx_21_E,6.02,NA,0.57,blank is ≥ 15% of sample value
Soil_Column,FW,10,1,FW.1.10,TMP_ColEx_22_A,13.96,NA,0.61,NA
Soil_Column,FW,10,3,FW.3.10,TMP_ColEx_22_B,27.7,NA,1.13,NA
Soil_Column,FW,10,5,FW.5.10,TMP_ColEx_22_C,10.74,NA,0.36,blank is ≥ 15% of sample value
Soil_Column,FW,10,8,FW.8.10,TMP_ColEx_22_D,16.27,NA,0.56,blank is ≥ 15% of sample value
Soil_Column,FW,10,9,FW.9.10,TMP_ColEx_22_E,5.77,NA,0.57,blank is ≥ 15% of sample value
Soil_Column,FW,11,1,FW.1.11,TMP_ColEx_23_A,15.3,NA,0.61,NA
Soil_Column,FW,11,3,FW.3.11,TMP_ColEx_23_B,25.13,NA,0.98,NA
Soil_Column,FW,11,5,FW.5.11,TMP_ColEx_23_C,10.18,NA,0.33,blank is ≥ 15% of sample value
Soil_Column,FW,11,8,FW.8.11,TMP_ColEx_23_D,17.05,NA,0.57,blank is ≥ 15% of sample value
Soil_Column,FW,11,9,FW.9.11,TMP_ColEx_23_E,6.89,NA,0.61,blank is ≥ 15% of sample value
Soil_Column,FW,12,1,FW.1.12,TMP_ColEx_24_A,12.98,NA,0.56,blank is ≥ 15% of sample value
Soil_Column,FW,12,3,FW.3.12,TMP_ColEx_24_B,24.23,NA,0.99,NA
Soil_Column,FW,12,5,FW.5.12,TMP_ColEx_24_C,9.79,NA,0.34,blank is ≥ 15% of sample value
Soil_Column,FW,12,8,FW.8.12,TMP_ColEx_24_D,16.56,NA,0.63,blank is ≥ 15% of sample value
Soil_Column,FW,12,9,FW.9.12,TMP_ColEx_24_E,6.48,NA,0.58,blank is ≥ 15% of sample value
Soil_Column,SWE,NA,NA,SWE,TMP_ColEx_38,11.87,NA,0.6,blank is ≥ 15% of sample value
