Sample_ID,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU
TMP_25.POOL.3_EXP,4.5361,4.4657,4.4657,1.3046,1.1021,0.5091,0.34921,2.367,4.3604,4.1576,18.8035,1.9377,1.6631
TMP_25.POOL.4_EXP,3.8919,3.8291,3.8291,1.0909,0.92271,0.42887,0.29571,2.1394,4.0621,3.8988,17.8115,1.7759,1.4813
TMP_25.POOL.5_EXP,2.6162,2.5755,2.5755,0.73848,0.62647,0.29978,0.21113,1.4366,2.675,2.6792,13.1674,1.2147,1.0081
TMP_25.POOL.6_EXP,1.6906,1.6648,1.6648,0.48406,0.41057,0.20017,0.14274,1.1118,1.9868,1.7337,8.7795,0.91129,0.76201
TMP_5.POOL.1_EXP,0.11095,0.10747,0.10747,0.022587,0.017372,0.0070038,0.0047366,0.60467,0.92082,0.24673,0.20273,0.48463,0.42924
TMP_5.POOL.2_EXP,1.0318,1.013,1.013,0.3219,0.2709,0.11866,0.078259,0.73252,1.3256,0.84346,4.0795,0.62458,0.52883
TMP_5.POOL.3_EXP,3.5281,3.4733,3.4733,1.0147,0.85718,0.39597,0.27161,2.2394,4.1156,3.6951,16.0343,1.8466,1.5981
TMP_5.POOL.4_EXP,2.4508,2.4121,2.4121,0.69611,0.58953,0.28091,0.19634,1.4576,2.7615,2.572,12.4161,1.2345,1.0272
TMP_5.POOL.5_EXP,1.7365,1.7096,1.7096,0.49822,0.42214,0.20301,0.14353,1.0644,2.0079,1.8507,8.786,0.88994,0.76539
TMP_5.POOL.6_EXP,1.1666,1.1483,1.1483,0.33729,0.28524,0.1382,0.098378,0.81229,1.4819,1.1951,5.6488,0.6779,0.60208
TMP_C_I5_20231002,0.42319,0.41124,0.41124,0.095203,0.071892,0.027065,0.01634,1.5417,2.3798,0.32649,0.17887,1.3111,1.1332
TMP_FW_H3_20231002,0.23574,0.22776,0.22776,0.04874,0.036873,0.013686,0.0081939,0.99269,1.571,0.36941,0.21549,0.88816,0.69067
TMP_FW_I5_20231005,0.54591,0.52933,0.52933,0.12279,0.093431,0.036224,0.021601,2.2267,3.998,0.51779,0.24405,1.9623,1.7201
TMP_SW_C3_20231002,0.25977,0.25064,0.25064,0.048965,0.036349,0.013202,0.0076627,1.281,1.9391,0.49997,0.35591,1.1211,0.89635
TMP_SW_D5_20231002,0.96352,0.9395,0.9395,0.26324,0.20523,0.090023,0.058088,2.4111,4.1575,0.52259,0.28208,2.0076,1.8915
TMP_SW_F6_20231002,1.2386,1.2071,1.2071,0.32888,0.25653,0.10883,0.067853,3.7073,6.6195,0.78237,0.29757,3.0734,2.9977
TMP_SW_H3_20231002,2.8913,2.8359,2.8359,0.9232,0.74281,0.36148,0.24711,4.4385,7.7075,0.7758,0.4412,3.2656,3.7299
PostTea_02Oct23,0.30241,0.29772,0.29772,0.086972,0.073472,0.03394,0.023281,0.2098,0.21006,0.78486,0.85795,0.27389,0.046423
PostTea_03Oct23,0.16256,0.16769,0.16769,0.051637,0.040625,0.012229,0.0093687,0.19323,0.1836,0.68729,0.74075,0.24549,0.047652
PostTea_05Oct23,0.16195,0.1672,0.1672,0.052157,0.041191,0.012771,0.010077,0.19167,0.1774,0.69557,0.72589,0.24341,0.046264
PostTea_12Oct23,0.1612,0.16626,0.16626,0.051559,0.040633,0.012372,0.0093695,0.19476,0.17961,0.67122,0.71271,0.24923,0.044814
PostTea_28Sep23,0.16283,0.16805,0.16805,0.052728,0.041746,0.013115,0.010307,0.19278,0.16975,0.69535,0.73114,0.247,0.043814
PreTea02Oct23,0.30241,0.29772,0.29772,0.086972,0.073472,0.03394,0.023281,0.21053,0.22005,0.79202,0.85325,0.27617,0.047427
PreTea_03Oct23,0.16212,0.16738,0.16738,0.051798,0.040832,0.012332,0.0093914,0.1949,0.18703,0.70009,0.74899,0.25005,0.045893
PreTea_05Oct23,0.16241,0.16758,0.16758,0.051718,0.040803,0.012341,0.0093895,0.19383,0.18187,0.70532,0.737,0.24464,0.046143
PreTea_12Oct23,0.16078,0.16589,0.16589,0.051402,0.040575,0.012319,0.0092102,0.19325,0.17785,0.67333,0.71835,0.25107,0.044521
PreTea_28Sep23,0.16157,0.16671,0.16671,0.051796,0.040955,0.012502,0.0094173,0.19345,0.18251,0.69029,0.73638,0.2469,0.044385
